lat,lng,Segment,customer_city
-20.237574247959685,-50.889794710347836,Silent-Premium,tres fronteiras
-20.024210235883093,-45.53953430395729,Silent-Premium,lagoa da prata
-22.90377779156327,-43.59938318694088,Silent-Premium,rio de janeiro
-18.775054711119516,-42.93346666970913,Silent-Premium,guanhaes
-21.37617510196632,-42.31413117217626,Silent-Premium,palma
-20.44184566357639,-50.823212222965566,Silent-Premium,marinopolis
-22.59110169212468,-46.52629570814344,Silent-Premium,socorro
-22.922355824860112,-43.24398668180498,Silent-Premium,rio de janeiro
-23.536014182613048,-46.66888585042401,Silent-Premium,sao paulo
-23.98479796586644,-46.300849044480685,Silent-Premium,santos
-22.919132912026026,-43.67945448652558,Silent-Premium,rio de janeiro
-15.606445237906046,-56.07226706810028,Silent-Premium,cuiaba
-15.838541298222948,-48.05311331669846,Silent-Premium,brasilia
-21.36006189551128,-48.072412538636975,Silent-Premium,pradopolis
-30.048961945871135,-51.18911279156328,Silent-Premium,porto alegre
-25.098574566926594,-50.17676985990251,Silent-Premium,ponta grossa
-23.502567676669088,-47.36963989638951,Silent-Premium,sorocaba
-19.91567272522938,-43.976732227595306,Silent-Premium,belo horizonte
-1.0236595690611228,-46.63736106957848,Silent-Premium,augusto correa
-20.27612263059031,-40.32674530558595,Silent-Premium,vitoria
-29.685849300812556,-51.46313816602653,Silent-Premium,montenegro
-23.54716236816894,-46.65543934860632,Silent-Premium,sao paulo
-22.355312427145236,-47.38524196280801,Silent-Premium,araras
-22.88300855130404,-43.34976905180368,Silent-Premium,rio de janeiro
-24.940912499999996,-53.41046295253623,Silent-Premium,cascavel
-21.686599240757907,-51.075784747070934,Silent-Premium,adamantina
-24.9416094316173,-53.47026546554414,Silent-Premium,cascavel
-22.92356707409551,-43.21262803260434,Silent-Premium,rio de janeiro
-23.86364503051552,-49.14046304526399,Silent-Premium,itabera
-23.623520499999927,-46.55251599347911,Silent-Premium,sao caetano do sul
-28.25061567025468,-52.42606739771481,Silent-Premium,passo fundo
-27.23883432684724,-48.63755565612226,Silent-Premium,tijucas
-22.770399908130887,-47.15092318067981,Silent-Premium,paulinia
-23.57516623535694,-46.4965872536788,Silent-Premium,sao paulo
-28.030909682841575,-48.62452477827803,Silent-Premium,garopaba
-24.721286369469176,-53.72232671270729,Silent-Premium,toledo
-22.727575602833376,-47.67373307172959,Silent-Premium,piracicaba
-29.155127603647397,-51.17340894799052,Silent-Premium,caxias do sul
-23.179211520068115,-47.31278396116133,Silent-Premium,salto
-22.538864163443847,-41.97501205167477,Silent-Premium,rio das ostras
-23.524372634196983,-46.64555244317329,Silent-Premium,sao paulo
-29.736819089281788,-52.41781875123797,Silent-Premium,santa cruz do sul
-20.660955301151265,-43.78585877930211,Silent-Premium,conselheiro lafaiete
-23.572119688037397,-46.625417150989634,Silent-Premium,sao paulo
-13.391033521202127,-44.200200447002956,Silent-Premium,santa maria da vitoria
-23.4982544454671,-46.58310665875125,Silent-Premium,sao paulo
-23.07433526119847,-44.958662696600726,Silent-Premium,cunha
-23.640079123362614,-46.51544838301402,Silent-Premium,santo andre
-23.442873747432053,-46.40472063592881,Silent-Premium,guarulhos
-19.932443287396424,-44.0525045309138,Silent-Premium,contagem
-23.720437497374263,-46.68726445363587,Silent-Premium,sao paulo
-22.52212397398497,-43.18337185591896,Silent-Premium,petropolis
-6.462483675223601,-38.17994686127649,Silent-Premium,tenente ananias
-22.982145063413963,-47.10193953710478,Silent-Premium,campinas
-23.014294742166268,-43.46413167283893,Silent-Premium,rio de janeiro
-6.324285345092806,-47.42547697187908,Silent-Premium,tocantinopolis
-27.399771320303053,-51.226497760529256,Silent-Premium,campos novos
-22.894114190951584,-43.24169391520001,Silent-Premium,rio de janeiro
-22.90680859062836,-43.28821205966879,Silent-Premium,rio de janeiro
-7.152417644324536,-34.85070269559124,Silent-Premium,joao pessoa
-23.536294213793404,-46.20095422081212,Silent-Premium,mogi das cruzes
-22.84771880512192,-43.076144903438085,Silent-Premium,sao goncalo
-17.85842559791108,-41.51725648560269,Silent-Premium,teofilo otoni
-22.943344137606253,-47.07891662170351,Silent-Premium,campinas
-19.892370394396657,-43.94229006688214,Silent-Premium,belo horizonte
-19.8399409186066,-43.959657698309165,Silent-Premium,belo horizonte
-21.20303590598236,-47.80187851542229,Silent-Premium,ribeirao preto
-25.49443659283573,-49.14179462951636,Silent-Premium,sao jose dos pinhais
-19.930871148479472,-43.93471710629582,Silent-Premium,belo horizonte
-20.92126732058364,-48.496954735944826,Silent-Premium,bebedouro
-23.66878576729107,-45.43728702402193,Silent-Premium,caraguatatuba
-21.9725602790242,-46.795694051741215,Silent-Premium,sao joao da boa vista
-23.57585532722604,-46.537505926452745,Silent-Premium,sao paulo
-26.38638088443971,-53.52624520862069,Silent-Premium,guaruja do sul
-20.32859855492441,-40.369324619815295,Silent-Premium,cariacica
-29.706404537705414,-53.71720315182636,Silent-Premium,santa maria
-16.656939999999963,-49.28328615499999,Silent-Premium,goiania
-12.787896505110531,-38.393952535802995,Silent-Premium,simoes filho
-23.050279947968658,-50.22913672263493,Silent-Premium,andira
-20.73799136507532,-48.91093038579832,Silent-Premium,olimpia
-28.645273222411767,-53.5862286036356,Silent-Premium,cruz alta
-23.83394350350837,-46.81523885752993,Silent-Premium,embu-guacu
-19.8380295527176,-43.17989781281398,Silent-Premium,joao monlevade
-21.756112849319592,-41.331979873023,Silent-Premium,campos dos goytacazes
-21.686599240757907,-51.075784747070934,Silent-Premium,adamantina
-5.047138841118125,-48.5993882436702,Silent-Premium,bom jesus do tocantins
-20.96353271281558,-49.03290557938275,Silent-Premium,tabapua
-25.469780975786964,-50.65054682632399,Silent-Premium,irati
-22.899227469328885,-47.06648780502337,Silent-Premium,campinas
-29.98708400138498,-51.11434195071856,Silent-Premium,porto alegre
-23.52821852883758,-46.17006825497569,Silent-Premium,mogi das cruzes
-22.756350707508076,-43.42252899664987,Silent-Premium,nova iguacu
-20.83590501931484,-49.41240407249307,Silent-Premium,sao jose do rio preto
-22.884229794083204,-46.963361858777574,Silent-Premium,campinas
-8.115392897166615,-34.8970405649489,Silent-Premium,recife
-19.969010470858095,-43.96760867485142,Silent-Premium,belo horizonte
-23.441940985284816,-46.74802596932887,Silent-Premium,sao paulo
-15.825222088586951,-48.06130437788214,Silent-Premium,brasilia
-25.39393168621084,-49.34352887039064,Silent-Premium,curitiba
-23.50881422546093,-47.61194381391098,Silent-Premium,aracoiaba da serra
-23.682706732442742,-46.77977784400343,Silent-Premium,sao paulo
-23.63074293282939,-46.70644903926945,Silent-Premium,sao paulo
-28.68951102469276,-49.34861512698399,Silent-Premium,criciuma
-8.033959041864554,-34.89563988684098,Silent-Premium,recife
-27.117194300062266,-49.999117805390846,Silent-Premium,taio
-23.494285082872555,-46.87045613339008,Silent-Premium,barueri
-23.609187050439854,-46.933769687344906,Silent-Premium,cotia
-23.97221168082404,-46.314586513330205,Silent-Premium,santos
-15.939435832571364,-50.14285866371175,Silent-Premium,goias
-23.59382532001268,-46.59506172245942,Silent-Premium,sao paulo
-23.687300569497012,-47.024136618685546,Silent-Premium,cotia
-10.686135392421832,-37.42703415844027,Silent-Premium,itabaiana
-29.67745825880729,-51.05918890980452,Silent-Premium,campo bom
-23.60520299748984,-46.66609148265907,Silent-Premium,sao paulo
-20.66115628432712,-40.49941656311269,Silent-Premium,guarapari
-16.7224226128167,-43.86324095489327,Silent-Premium,montes claros
-22.414446697897635,-49.13740817070234,Silent-Premium,piratininga
-2.557431222444196,-44.24523936342501,Silent-Premium,sao luis
-23.637621216486806,-46.73668171051419,Silent-Premium,sao paulo
-15.594988055474516,-56.13152326011155,Silent-Premium,cuiaba
-21.009698989929387,-48.21908351951463,Silent-Premium,pitangueiras
-22.8943563487088,-46.41391447012428,Silent-Premium,vargem
-29.228746165664454,-51.36481412247986,Silent-Premium,farroupilha
-15.797852024153835,-47.89390250751566,Silent-Premium,brasilia
-19.90258048016325,-44.016092653903826,Silent-Premium,belo horizonte
-27.54240866084872,-48.49699966851308,Silent-Premium,florianopolis
-23.52076037607479,-46.66428988130433,Silent-Premium,sao paulo
-23.867518787956595,-46.7540388702464,Silent-Premium,sao paulo
-22.938556678817257,-43.06189295407768,Silent-Premium,niteroi
-23.447220663887148,-46.42751660713256,Silent-Premium,guarulhos
-21.24481728187358,-44.99836509644241,Silent-Premium,lavras
-22.882508748411613,-49.23886055139232,Silent-Premium,aguas de santa barbara
-1.4002461618096758,-48.44022998211082,Silent-Premium,belem
-21.99672021840065,-47.9007557361485,Silent-Premium,sao carlos
-23.9284341639139,-46.410112111257504,Silent-Premium,cubatao
-19.92312879282017,-44.09524980292296,Silent-Premium,contagem
-23.561483773241413,-46.636216077298165,Silent-Premium,sao paulo
-23.194530383237616,-46.896837001804485,Silent-Premium,jundiai
-23.490150706853875,-46.617224474492815,Silent-Premium,sao paulo
-23.650898207600004,-46.65502005773554,Silent-Premium,sao paulo
-21.179578055269594,-47.8091725567546,Silent-Premium,ribeirao preto
-30.03336443104038,-51.23063954079865,Silent-Premium,porto alegre
-23.498473989435023,-46.6725406902591,Silent-Premium,sao paulo
-22.936854813491813,-43.35996102505908,Silent-Premium,rio de janeiro
-27.678950440852773,-48.6501515088604,Silent-Premium,palhoca
-23.1408947463212,-45.77747070996593,Silent-Premium,sao jose dos campos
