month,Engaged-Premium,Silent-Premium,Bulk-Buyer,Budget-Regular,Delivery-Disappointed
2017-01-01,34405.3,55198.61,21534.03,8648.04,7759.6900000000005
2017-02-01,89912.46,105367.77,36176.24,19737.02,20105.16
2017-03-01,112331.97,185914.1,53162.31,28669.37,34291.64
2017-04-01,103578.01,175059.66,46457.29,25438.72,40418.5
2017-05-01,154272.91,254780.5,76712.66,39388.25,41718.409999999996
2017-06-01,126951.45,216992.02,55303.36,36498.89,54479.88
2017-07-01,164725.88,228839.25,88372.98,42029.56,42436.26
2017-08-01,166800.38,287181.22,98862.8,45050.1,48106.11
2017-09-01,188159.99,302446.0,114093.69,43011.73,53458.58
2017-10-01,192182.36,324912.57,120512.95,46404.89,67127.5
2017-11-01,227955.97,491300.04,189241.19,80095.08,164800.94
2017-12-01,198418.1,365326.77,101008.18000000001,56597.090000000004,121849.03
2018-01-01,257998.29,454821.59,159383.28,77558.22,128845.48
2018-02-01,201538.82,381155.43,137546.91,67624.54,178645.18
2018-03-01,208538.62,448341.74,151024.98,74253.72,238518.94
2018-04-01,268033.12,518028.85,164198.64,76125.47,106547.87
2018-05-01,276873.95,483001.35,190846.63,75988.58,102126.18000000001
2018-06-01,266439.85,451137.68,155175.48,83232.24,55576.1
2018-07-01,251092.39,456564.59,147604.12,87749.97,84372.03
2018-08-01,199701.97,404855.14,115471.25,70974.98,75788.63
