category,purchased,approved,shipped,delivered
auto,100.0,100.0,98.917804689513,97.73254315897965
bed_bath_table,100.0,99.98928073748526,99.6141065494694,98.45642619787759
computers_accessories,100.0,100.0,98.89055472263868,97.61619190404798
furniture_decor,100.0,99.95259165613149,99.05183312262959,97.77180783817951
health_beauty,100.0,100.0,99.18191114646064,97.87524144983524
housewares,100.0,100.0,98.95207009104965,97.57773578422952
sports_leisure,100.0,99.97396850188728,98.84159833398411,97.52700767929194
telephony,100.0,99.9760708303422,98.8753290260828,97.46350801627185
toys,100.0,100.0,98.65598345825795,97.88058929956061
watches_gifts,100.0,100.0,99.03691813804173,97.66363474228643
