customer_state,avg_days,p80_days,order_count,violation_rate_pct
SP,8.76,12.06,40501,5.89
PR,11.99,15.95,4923,5.00
MG,12.01,16.00,11354,5.61
DF,12.97,17.41,2080,7.07
SC,14.95,20.24,3546,9.76
RS,15.30,20.25,5345,7.15
RJ,15.31,20.81,12350,13.47
GO,15.61,20.13,1957,8.18
MS,15.62,20.26,701,11.55
ES,15.79,20.65,1995,12.23
TO,17.66,23.23,274,12.77
MT,18.06,22.73,886,6.77
PE,18.45,24.15,1593,10.80
RN,19.28,24.89,474,10.76
BA,19.34,25.19,3256,14.04
RO,19.37,24.98,243,2.88
PI,19.46,24.80,476,15.97
PB,20.43,27.53,517,11.03
CE,21.27,27.22,1279,15.32
SE,21.52,27.82,335,15.22
MA,21.57,27.10,717,19.67
PA,23.77,31.58,946,12.37
AL,24.54,33.12,397,23.93
AM,26.43,34.33,145,4.14
