customer_state,purchased,approved,shipped,delivered
AL,100.0,99.75786924939467,98.30508474576271,96.12590799031477
AM,100.0,100.0,99.32432432432432,97.97297297297297
BA,100.0,99.94082840236686,98.43195266272188,96.33136094674556
CE,100.0,99.7005988023952,98.65269461077844,95.73353293413174
DF,100.0,99.85981308411215,98.5981308411215,97.19626168224299
ES,100.0,99.90162321692081,99.06542056074767,98.13084112149532
GO,100.0,99.9009900990099,98.46534653465346,96.88118811881188
MA,100.0,99.8661311914324,98.39357429718876,95.98393574297188
MG,100.0,99.86248388483025,98.25526428878383,97.59346798452944
MS,100.0,100.0,98.46153846153847,98.04195804195804
MT,100.0,100.0,99.33847850055126,97.68467475192944
PA,100.0,99.6923076923077,99.07692307692308,97.02564102564104
PB,100.0,99.81343283582089,98.50746268656717,96.45522388059702
PE,100.0,100.0,98.60774818401937,96.42857142857143
PI,100.0,99.79797979797979,97.77777777777777,96.16161616161617
PR,100.0,99.86124876114965,98.1962338949455,97.58176412289396
RJ,100.0,99.84438219732338,98.49050731403672,96.11733582321817
RN,100.0,100.0,99.17525773195877,97.73195876288659
RO,100.0,99.60474308300395,96.04743083003953,96.04743083003953
RS,100.0,99.81705085986096,98.46322722283205,97.7680204903037
SC,100.0,99.83502886994776,98.3502886994776,97.52543304921639
SE,100.0,99.71428571428571,98.28571428571429,95.71428571428572
SP,100.0,99.81076031236526,97.87285009342213,97.0033057059359
TO,100.0,100.0,99.28571428571429,97.85714285714285
