order_date,daily_revenue
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,1447.99
2017-01-08,507.85
2017-01-09,774.51
2017-01-10,1571.17
2017-01-11,2098.78
2017-01-12,1720.3500000000001
2017-01-13,2712.86
2017-01-14,1153.29
2017-01-15,2551.34
2017-01-16,3664.54
2017-01-17,3893.61
2017-01-18,3811.68
2017-01-19,4140.16
2017-01-20,4656.05
2017-01-21,2897.87
2017-01-22,4141.87
2017-01-23,7221.59
2017-01-24,5943.21
2017-01-25,8196.07
2017-01-26,14824.8
2017-01-27,12458.15
2017-01-28,5710.01
2017-01-29,6593.76
2017-01-30,11277.15
2017-01-31,11818.16
2017-02-01,8788.7
2017-02-02,10334.07
2017-02-03,10797.08
2017-02-04,15320.15
2017-02-05,10035.210000000001
2017-02-06,10892.49
2017-02-07,16004.01
2017-02-08,13516.29
2017-02-09,10568.42
2017-02-10,14486.49
2017-02-11,5233.15
2017-02-12,16389.82
2017-02-13,12174.71
2017-02-14,12357.96
2017-02-15,7734.14
2017-02-16,6842.42
2017-02-17,8059.21
2017-02-18,8451.14
2017-02-19,4195.81
2017-02-20,8318.07
2017-02-21,8982.23
2017-02-22,7024.96
2017-02-23,7790.55
2017-02-24,7779.2
2017-02-25,4347.75
2017-02-26,6101.02
2017-02-27,6721.860000000001
2017-02-28,11992.41
2017-03-01,14190.98
2017-03-02,12575.460000000001
2017-03-03,13919.14
2017-03-04,10024.789999999999
2017-03-05,8092.320000000001
2017-03-06,10605.15
2017-03-07,13190.06
2017-03-08,14774.64
2017-03-09,13001.78
2017-03-10,14005.74
2017-03-11,12089.77
2017-03-12,7711.89
2017-03-13,18563.44
2017-03-14,16171.19
2017-03-15,16477.95
2017-03-16,16463.94
2017-03-17,13522.029999999999
2017-03-18,17588.75
2017-03-19,7728.08
2017-03-20,19327.85
2017-03-21,13166.64
2017-03-22,16338.04
2017-03-23,18402.829999999998
2017-03-24,11554.4
2017-03-25,10896.76
2017-03-26,7356.92
2017-03-27,18517.1
2017-03-28,13533.92
2017-03-29,9662.03
2017-03-30,11172.34
2017-03-31,13705.02
2017-04-01,18862.37
2017-04-02,10449.4
2017-04-03,10300.27
2017-04-04,14152.99
2017-04-05,20080.09
2017-04-06,20966.29
2017-04-07,14605.91
2017-04-08,9688.06
2017-04-09,9077.65
2017-04-10,13049.66
2017-04-11,8400.58
2017-04-12,8925.15
2017-04-13,11213.93
2017-04-14,7950.88
2017-04-15,9225.82
2017-04-16,6046.41
2017-04-17,8628.01
2017-04-18,23433.86
2017-04-19,13527.61
2017-04-20,14461.9
2017-04-21,10048.39
2017-04-22,14736.68
2017-04-23,11506.54
2017-04-24,15435.6
2017-04-25,16136.78
2017-04-26,18037.64
2017-04-27,11475.53
2017-04-28,17803.15
2017-04-29,13295.69
2017-04-30,9289.56
2017-05-01,13923.19
2017-05-02,19905.34
2017-05-03,12105.77
2017-05-04,15778.17
2017-05-05,15902.53
2017-05-06,16591.62
2017-05-07,18674.86
2017-05-08,18708.37
2017-05-09,23487.36
2017-05-10,22639.82
2017-05-11,21041.73
2017-05-12,13918.65
2017-05-13,9772.58
2017-05-14,16509.65
2017-05-15,21047.98
2017-05-16,24204.95
2017-05-17,21127.09
2017-05-18,20801.42
2017-05-19,20476.48
2017-05-20,12230.23
2017-05-21,20063.3
2017-05-22,27312.02
2017-05-23,19913.85
2017-05-24,26523.73
2017-05-25,17383.91
2017-05-26,12246.38
2017-05-27,15158.26
2017-05-28,11107.24
2017-05-29,20620.45
2017-05-30,15732.56
2017-05-31,21941.91
2017-06-01,21730.329999999998
