h,naive,snaive,expected,HGB_global,HGB_log,HGB_ratio
1,15.864709280343591,24.34377725942744,18.425145109524628,13.82107531945476,15.883908607643274,16.072654253085886
2,22.222512136264598,20.70253597753368,21.40516060833254,15.048655183975908,13.165363435968528,14.94336078959401
3,48.60555522369781,21.746262570164806,24.38571472464162,23.288516331224464,21.028053097649906,18.767571438566996
4,36.64010537334922,21.982066830762392,21.255137842937653,22.378388192440905,21.79408116946925,20.241012074784557
5,23.30933336840054,20.94092967782394,22.6041230936231,23.02157828791598,26.798533905732462,24.785504398574133
6,16.467127640434533,16.01743641491419,17.163737993637806,18.611822111188843,20.11439017684755,15.74369711440122
7,17.489472476064797,17.489472476064797,19.844805346704568,17.60485793574428,17.83960497288585,18.26798703987503
8,21.013715188545596,22.609781153298727,20.10054064174799,21.526188329503793,22.166223620723052,19.211881771242144
9,23.526571520373817,14.52313799276728,17.769394042994872,11.260401390015103,13.520300072112622,10.895628898622599
10,48.280835240158375,17.204555945885012,14.243949377077644,17.60595674987116,15.58620147284491,11.21968066500824
11,36.66564125598756,21.415844212322348,17.18321358143854,20.603451748148554,21.829766492521912,15.15966132056591
12,24.29316187307607,31.971979924755967,21.57991132757791,23.6878676578273,25.587817141831938,21.628165730458154
13,19.490998423415856,24.622185070416744,22.264152034079128,24.25088728103805,21.64952384278861,19.548156490946244
14,20.335189651283976,20.335189651283976,24.578232858388436,22.950707846862343,23.96997711071538,21.83808591896785
15,17.864462390500556,22.715992384777685,18.132936552011337,18.854931379247102,19.380804947059545,16.09807718635792
16,22.169811138044004,27.81152520626443,22.16271417179269,22.101606396992697,21.528932851782393,20.533574734607146
17,56.10152446299645,28.576366931437708,22.381626598089678,23.5043625673651,23.155066385547144,18.816661081684813
18,41.8885859680988,21.430825057422062,20.931295917365475,26.09938886831889,25.301437772028564,20.49158952892756
19,24.228291565105224,33.91364524535137,22.327630132582588,31.027310683490622,32.44690537317835,27.0012969748494
20,22.829562550013378,27.180219639805614,17.76526436335785,26.363550000901082,26.679690241588027,19.91576889875335
21,21.361830257565522,21.361830257565522,21.179353059822077,24.03585447172584,25.313402293183696,20.83939462814555
22,25.18170878197936,26.64130449165352,18.06671219665321,24.021767347436796,24.20905719419827,22.77138431739252
23,21.306176741951088,17.882196846283396,19.83171629965056,15.234166836166715,15.9032824498351,16.796559685102412
24,48.3682788585214,18.50062834249282,12.218472921988583,18.97493778530984,15.12797745119982,13.544351046580708
25,30.459776333089778,21.89637562006635,16.118820294781973,26.426600602663097,25.21556527913348,23.46401086075759
26,27.32119571987076,31.008164110782722,19.395097029495904,28.01087746142443,29.52856120858518,27.69310708202582
27,22.53441275992204,31.784349202342142,19.78849258391459,27.32191318059635,26.548746272436542,25.902831585757742
28,29.88610774029353,29.88610774029353,25.98598820146613,29.029085165367878,29.53485707343929,29.38023722583741
29,22.593952072685948,26.843972416463124,20.230744057940527,21.091134688029907,21.656382066894373,20.155079379779895
30,30.637558207659136,27.976402735731792,23.608781831599796,19.96708780081261,22.768516504314853,20.697239749868814
31,47.52337573242802,24.276027953666702,23.83930564417696,19.026098462777536,16.77938676502283,17.47406067889761
