target_date,h,forecast,lower_bound,upper_bound,actual,region
2018-08-22,1,20008.48152377686,5400.477292194433,34616.48575535929,,São Paulo
2018-08-23,2,20105.986849035304,5426.79489627151,34785.1788017991,,São Paulo
2018-08-24,3,18832.5149592747,5083.0728594578995,32581.957059091503,,São Paulo
2018-08-25,4,13769.174370491022,3716.4296266929264,23821.91911428912,,São Paulo
2018-08-26,5,15066.414601155637,4066.56696219738,26066.262240113894,,São Paulo
2018-08-27,6,21307.261344128754,5751.030177431413,36863.492510826094,,São Paulo
2018-08-28,7,21499.119101404816,5802.814390054918,37195.423812754714,,São Paulo
2018-08-22,1,5449.689601234258,1730.2319275042519,9169.147274964263,,Minas Gerais
2018-08-23,2,5548.195767751005,1761.5068306335468,9334.884704868464,,Minas Gerais
2018-08-24,3,5291.801287273302,1680.1036776800433,8903.49889686656,,Minas Gerais
2018-08-25,4,3792.443081204078,1204.0696961632025,6380.816466244954,,Minas Gerais
2018-08-26,5,4248.80218644209,1348.9599838800016,7148.644389004178,,Minas Gerais
2018-08-27,6,5506.640548910553,1748.3133881343824,9264.967709686724,,Minas Gerais
2018-08-28,7,5835.839679941646,1852.8314228656911,9818.847937017601,,Minas Gerais
