order_date,daily_revenue,region
2017-01-05,24.42,São Paulo
2017-01-06,21.450000000000003,São Paulo
2017-01-07,47.83,São Paulo
2017-01-08,141.37,São Paulo
2017-01-09,151.37,São Paulo
2017-01-10,425.07,São Paulo
2017-01-11,159.81,São Paulo
2017-01-12,609.94,São Paulo
2017-01-13,710.75,São Paulo
2017-01-14,404.67,São Paulo
2017-01-15,347.0,São Paulo
2017-01-16,1824.3000000000002,São Paulo
2017-01-17,1690.01,São Paulo
2017-01-18,1440.0900000000001,São Paulo
2017-01-19,1726.29,São Paulo
2017-01-20,1505.51,São Paulo
2017-01-21,710.72,São Paulo
2017-01-22,2227.74,São Paulo
2017-01-23,2584.48,São Paulo
2017-01-24,2628.02,São Paulo
2017-01-25,3160.16,São Paulo
2017-01-26,6052.45,São Paulo
2017-01-27,4521.610000000001,São Paulo
2017-01-28,818.98,São Paulo
2017-01-29,2057.0,São Paulo
2017-01-30,3180.25,São Paulo
2017-01-31,5666.89,São Paulo
2017-02-01,2521.78,São Paulo
2017-02-02,2364.8,São Paulo
2017-02-03,3667.8599999999997,São Paulo
2017-02-04,3261.7799999999997,São Paulo
2017-02-05,2867.1,São Paulo
2017-02-06,4689.24,São Paulo
2017-02-07,7226.36,São Paulo
2017-02-08,4121.25,São Paulo
2017-02-09,2960.44,São Paulo
2017-02-10,4382.43,São Paulo
2017-02-11,2054.56,São Paulo
2017-02-12,3834.8,São Paulo
2017-02-13,2949.57,São Paulo
2017-02-14,3005.64,São Paulo
2017-02-15,3103.35,São Paulo
2017-02-16,2542.25,São Paulo
2017-02-17,2087.46,São Paulo
2017-02-18,2416.0299999999997,São Paulo
2017-02-19,2156.58,São Paulo
2017-02-20,2854.52,São Paulo
2017-02-21,1017.0600000000001,São Paulo
2017-02-22,1970.34,São Paulo
2017-02-23,2544.5,São Paulo
2017-02-24,1901.79,São Paulo
2017-02-25,2314.82,São Paulo
2017-02-26,3271.8100000000004,São Paulo
2017-02-27,1882.92,São Paulo
2017-02-28,4465.25,São Paulo
2017-03-01,6506.24,São Paulo
2017-03-02,5547.3,São Paulo
2017-03-03,5274.849999999999,São Paulo
2017-03-04,2483.45,São Paulo
2017-03-05,2450.85,São Paulo
2017-03-06,4781.93,São Paulo
2017-03-07,4702.110000000001,São Paulo
2017-03-08,3908.1,São Paulo
2017-03-09,3600.83,São Paulo
2017-03-10,6152.77,São Paulo
2017-03-11,4173.2699999999995,São Paulo
2017-03-12,2401.1,São Paulo
2017-03-13,4649.05,São Paulo
2017-03-14,4601.89,São Paulo
2017-03-15,5085.4400000000005,São Paulo
2017-03-16,5829.48,São Paulo
2017-03-17,4314.89,São Paulo
2017-03-18,7411.780000000001,São Paulo
2017-03-19,3872.14,São Paulo
2017-03-20,5357.96,São Paulo
2017-03-21,4450.08,São Paulo
2017-03-22,8238.67,São Paulo
2017-03-23,5443.13,São Paulo
2017-03-24,3710.7400000000002,São Paulo
2017-03-25,3297.88,São Paulo
2017-03-26,2553.94,São Paulo
2017-03-27,7320.91,São Paulo
2017-03-28,6305.42,São Paulo
2017-03-29,3956.56,São Paulo
2017-03-30,4457.63,São Paulo
2017-03-31,4817.4,São Paulo
2017-04-01,6892.150000000001,São Paulo
2017-04-02,3479.12,São Paulo
2017-04-03,3394.4,São Paulo
2017-04-04,6745.64,São Paulo
2017-04-05,7009.33,São Paulo
2017-04-06,7134.81,São Paulo
2017-04-07,8721.09,São Paulo
2017-04-08,3627.58,São Paulo
2017-04-09,2113.65,São Paulo
2017-04-10,3591.11,São Paulo
2017-04-11,3190.51,São Paulo
2017-04-12,4317.61,São Paulo
2017-04-13,3284.7599999999998,São Paulo
2017-04-14,2981.18,São Paulo
2017-04-15,3814.9,São Paulo
2017-04-16,1354.0,São Paulo
2017-04-17,2152.18,São Paulo
2017-04-18,7714.0199999999995,São Paulo
2017-04-19,5013.34,São Paulo
2017-04-20,4909.12,São Paulo
2017-04-21,3520.0099999999998,São Paulo
2017-04-22,4740.16,São Paulo
2017-04-23,6420.98,São Paulo
2017-04-24,5829.96,São Paulo
2017-04-25,5553.7,São Paulo
2017-04-26,7511.25,São Paulo
2017-04-27,3197.35,São Paulo
2017-04-28,3864.7,São Paulo
2017-04-29,3414.34,São Paulo
2017-04-30,3236.33,São Paulo
2017-05-01,7476.16,São Paulo
